Plot Observations
Number of releves: 20

,358,359,360,361,362,363,365,366,367,369,370,371,373,374,375,376,377,364,368,372
Achyranthes aspera,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,
Adiantum poiretii,0.5,0.5,,0.5,0.5,0.5,0.5,0.5,0.5,,0.5,0.5,0.5,0.5,,,0.5,0.5,,
Aerangis thomsonii,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Agrocharis incognita,0.5,0.5,,0.5,0.5,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,0.5,0.5,0.5,0.5,0.5,0.5
Allophylus abyssinicus,0.5,,0.5,0.5,,,0.5,,0.5,,0.5,,0.5,0.5,,,0.5,,,0.5
Amauropelta bergiana,,,,0.5,,,0.5,0.5,,0.5,0.5,0.5,0.5,,0.5,,0.5,,0.5,0.5
Aneilema pedunculosum,,,0.5,,,,0.5,0.5,,,,,,0.5,,,,,,
Anthriscus sylvestris,0.5,0.5,,,0.5,0.5,0.5,0.5,0.5,,0.5,0.5,0.5,0.5,0.5,0.5,,,,
Arachniodes foliosa,,,,0.5,,0.5,0.5,,,0.5,,,0.5,0.5,,0.5,0.5,0.5,0.5,
Arisaema mildbraedii,,,,0.5,0.5,0.5,0.5,,,,,,,,,,,,,
Asparagus setaceus,,,,0.5,,0.5,,,,,0.5,,0.5,0.5,,,,0.5,0.5,
Asplenium,0.5,,0.5,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,0.5,0.5,0.5,0.5,
Asplenium aethiopicum,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Asplenium erectum,0.5,0.5,,0.5,0.5,,0.5,0.5,0.5,0.5,,0.5,0.5,0.5,,0.5,0.5,0.5,,0.5
Asplenium friesiorum,0.5,0.5,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,0.5,0.5,0.5,,0.5,,0.5,
Asplenium monanthes,0.5,0.5,,0.5,0.5,,,0.5,0.5,0.5,0.5,,0.5,0.5,0.5,0.5,,0.5,0.5,0.5
Asplenium theciferum,0.5,0.5,0.5,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,0.5,0.5,0.5,0.5,0.5,0.5
Basella alba,,0.5,,,,0.5,,,,,0.5,0.5,,,,,,0.5,,
Brucea antidysenterica,0.5,15,0.5,0.5,37.5,0.5,15,0.5,0.5,,15,,0.5,0.5,15,15,0.5,15,,37.5
Cardamine africana,,,,0.5,0.5,0.5,0.5,,,,,,,,,,,,,
Cassipourea malosana,,,,0.5,,,0.5,0.5,,0.5,,,,,,,,,,
Chionanthus battiscombei,,,,,,,,,,0.5,,,,,,,,,0.5,
Clausena anisata,0.5,0.5,0.5,,15,0.5,0.5,0.5,0.5,,0.5,0.5,15,0.5,0.5,3,15,0.5,,15
Clematis brachiata,,,0.5,,0.5,0.5,,0.5,0.5,,,,0.5,,0.5,,,0.5,,
Clematis simensis,0.5,,,,0.5,,0.5,0.5,0.5,,,,,,0.5,0.5,,0.5,,0.5
Clerodendrum johnstonii,0.5,0.5,0.5,,0.5,0.5,0.5,0.5,0.5,,0.5,,0.5,0.5,0.5,0.5,0.5,0.5,,
Coptosperma graveolens,,,0.5,0.5,,0.5,,,,,0.5,,,,0.5,0.5,,,,
Crassula alsinoides,,0.5,0.5,0.5,,0.5,,0.5,,,,,,0.5,0.5,,,,,
Cynoglossum lanceolatum,,,,,,,,,,0.5,,,,,,,,,0.5,
Cyperus afrosylvestris,0.5,,,0.5,,0.5,0.5,,0.5,,0.5,,0.5,0.5,,,,0.5,,
Cyphostemma kilimandscharicum,,,,,,,,0.5,,0.5,,,,,,,,,0.5,
Cyphostemma maranguense,,,,,,,,0.5,,0.5,,,,,,,,,0.5,
Cystopteris fragilis,,,,,,,0.5,,,,,,,,,,,,,0.5
Dichondra repens,0.5,,0.5,0.5,0.5,0.5,0.5,,0.5,,0.5,,0.5,0.5,0.5,,0.5,0.5,,
Dichrocephala integrifolia,,0.5,,,,0.5,,0.5,0.5,,,,,,0.5,,0.5,0.5,,
Dicliptera,15,15,37.5,15,0.5,0.5,15,3,15,62.5,37.5,15,,0.5,0.5,37.5,15,0.5,37.5,15
Dombeya torrida,0.5,,,0.5,0.5,,,,0.5,,0.5,,,0.5,,0.5,0.5,0.5,,
Doryopteris concolor,0.5,,0.5,0.5,0.5,,0.5,0.5,0.5,,,0.5,0.5,,0.5,0.5,0.5,,,0.5
Dovyalis abyssinica,0.5,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,0.5,0.5,0.5,0.5,0.5,,0.5,0.5,,0.5
Dracaena,,,,0.5,0.5,0.5,0.5,,,15,,,,0.5,0.5,0.5,,,15,
Droguetia iners,0.5,0.5,,0.5,37.5,15,,0.5,0.5,,,,0.5,,,,,62.5,,0.5
Drymaria cordata,0.5,0.5,,0.5,0.5,0.5,0.5,0.5,0.5,,,0.5,0.5,,,0.5,,0.5,,0.5
Ehrharta erecta,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,15,0.5,0.5,0.5,,15,15,0.5,0.5,15,0.5
Englerina woodfordioides,0.5,0.5,0.5,,,0.5,0.5,,0.5,,,0.5,0.5,,0.5,,,0.5,,0.5
Euphorbia ugandensis,,,,,,,0.5,0.5,,,,,,,,,,,,
Faurea saligna,15,19,19,19,7.75,37.5,7.75,7.75,7.75,0.5,19,7.75,19,31.5,19,19,7.75,19,0.5,7.75
Galium aparinoides,0.5,0.5,0.5,,,,,,0.5,,,,,,,,,0.5,,
Geranium arabicum,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Impatiens meruensis,,0.5,0.5,,0.5,,0.5,0.5,,0.5,,0.5,,0.5,0.5,,0.5,,0.5,0.5
Jasminum abyssinicum,0.5,0.5,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,0.5,0.5,0.5,0.5,,0.5,0.5,
Jasminum grandiflorum ssp. floribundum,,,,,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,
Juniperus procera,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,0.5,,,,0.5,0.5,
Laportea alatipes,0.5,,0.5,0.5,0.5,,0.5,0.5,0.5,0.5,0.5,,0.5,0.5,0.5,,0.5,0.5,0.5,0.5
Lobelia giberroa,,,,0.5,0.5,,,,0.5,,,0.5,,,0.5,0.5,0.5,0.5,,
Loxogramme abyssinica,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,0.5,0.5,0.5,0.5
Maesa lanceolata,,,,,,,,0.5,0.5,,,,,,,0.5,0.5,0.5,,0.5
Maytenus undata,0.5,0.5,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Nuxia congesta,0.5,0.5,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,0.5,0.5,0.5,,0.5,0.5,0.5,0.5
Olea capensis ssp. hochstetteri,,,,,,,,,,,,0.5,,,0.5,,,,,
Oxalis corniculata,0.5,0.5,0.5,,0.5,0.5,,0.5,0.5,,,0.5,,0.5,0.5,,0.5,0.5,,0.5
Panicum calvum,0.5,,,,0.5,0.5,0.5,,0.5,,0.5,,0.5,0.5,,0.5,0.5,0.5,,
Parietaria debilis,,,,0.5,,0.5,,0.5,,,0.5,,,,,,,0.5,,
Pavetta gardeniifolia,,,,,,,,,,,,0.5,,,0.5,,0.5,,,
Pentas lanceolata,0.5,0.5,0.5,0.5,,0.5,0.5,0.5,0.5,,0.5,,,,,,,,,0.5
Peperomia abyssinica,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Pilea johnstonii,,0.5,,,,,,,0.5,,0.5,,,,,0.5,,0.5,,
Pilea rivularis,0.5,0.5,,0.5,0.5,0.5,0.5,0.5,0.5,,0.5,0.5,15,0.5,0.5,0.5,,0.5,,0.5
Piper capense,,,0.5,0.5,0.5,,,0.5,0.5,0.5,,,,,,,,,0.5,
Plectranthus barbatus,,,,,,,,,,,,,,,,,,0.5,,
Pleopeltis macrocarpa,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,0.5,0.5,0.5,0.5,0.5
Poa,0.5,,0.5,0.5,0.5,,0.5,0.5,0.5,,0.5,,,,,0.5,0.5,0.5,,
Podocarpus latifolius,19,7.75,37.5,19,19,7.75,7.75,7.75,7.75,7.75,7.75,19,15,7.75,19,37.5,7.75,19,7.75,0.5
Polystachya,,0.5,0.5,,,,0.5,0.5,,0.5,0.5,,0.5,0.5,,0.5,,0.5,,
Polystachya confusa,,,0.5,,0.5,0.5,,,0.5,0.5,,0.5,,0.5,0.5,,,0.5,,0.5
Polystachya piersii,,,,0.5,,,,0.5,,,,,,,0.5,,,,,
Polystichum discretum,0.5,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,0.5,0.5,0.5,,0.5,0.5,
Prunus africana,0.5,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,7.75,0.5,0.5,,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Psychotria orophila,,,0.5,,0.5,0.5,,0.5,,,,,,0.5,0.5,,0.5,0.5,,0.5
Pteris dentata,0.5,0.5,0.5,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,0.5,0.5,0.5,,0.5,0.5,0.5,0.5
Pteris quadriaurtia,0.5,0.5,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,0.5,0.5,0.5,0.5,0.5,
Pycnostachys meyeri,,,,0.5,0.5,0.5,,,,0.5,,,,,,,,0.5,0.5,
Rapanea melanophloeos,,,,0.5,,,,,,,,,,,,,,0.5,,
Rhamnus prinoides,,,0.5,,,0.5,,,0.5,,,,,0.5,,,,,,
Rubus pinnatus,,,,,,,,,,,,,,,0.5,,0.5,,,
Rubus volkensii,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,0.5,0.5,0.5,0.5,0.5,,,0.5,,
Sanicula elata,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Schefflera volkensii,,,0.5,,0.5,0.5,0.5,0.5,0.5,,0.5,0.5,,0.5,,,,,,0.5
Schoenoxiphium lehmannii,,,,0.5,,,,,,,,,,,,,,,,
Scutia myrtina,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,0.5,,,0.5,0.5,0.5,0.5,
Senecio syringifolius,0.5,,0.5,0.5,0.5,0.5,,0.5,,0.5,,0.5,,,0.5,0.5,0.5,,0.5,0.5
Solanum appendiculatum,,,,,0.5,0.5,,,,,,,,,,,,0.5,,
Solanum nigriviolaceum,,0.5,,,,0.5,0.5,0.5,,,,,,0.5,,,0.5,0.5,,0.5
Solanum schumannianum,0.5,,,0.5,0.5,,,,0.5,,,,,0.5,,0.5,0.5,,,
Stegnogramma pozoi,,0.5,,,0.5,0.5,,,0.5,,,0.5,,,,0.5,,,0.5,0.5
Stellaria sennii,,,,,,,,0.5,0.5,,,,,,0.5,,,,,
Stephania abyssinica,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,
Thalictrum rhynchocarpum,0.5,,,0.5,,0.5,0.5,0.5,0.5,,0.5,0.5,0.5,0.5,,,0.5,0.5,0.5,
Turraea holstii,,0.5,,,0.5,0.5,,,,,0.5,,0.5,0.5,,0.5,,0.5,0.5,0.5
Urera hypselodendron,0.5,0.5,0.5,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,0.5,0.5,0.5,0.5,0.5,0.5
Vepris nobilis,0.5,7.75,9,7.75,0.5,7.75,7.75,0.5,15,,7.75,3,0.5,0.5,15,0.5,0.5,15,,0.5
Vernonia,,,,0.5,,,0.5,,,,,,,,,,0.5,0.5,,0.5
Viola abyssinica,0.5,,0.5,0.5,0.5,,0.5,0.5,0.5,0.5,0.5,,,0.5,0.5,,0.5,0.5,0.5,
Xymalos monospora,0.5,15,9,1.75,7.75,15,7.75,15,15,0.5,9,20.25,15,7.75,15,15,15,7.75,50,15
Zehneria scabra,,,,0.5,0.5,,0.5,,,,,,0.5,,,0.5,0.5,,,
